title of work,artist name,year(s) created
Initial L: Saint Anthony Appearing to Bishop Theophilus and Leading Him to His Hermitage,Master of the Brussels Romuléon,about 1465–1470
Initial L: Saint Cecilia,Master of the Brussels Initials,between about 1389 and 1400
Initial L: Saint Luke as the Ox,Unknown,about 1170
Initial L: Saint Matthew Seated,Unknown,late 12th century
Initial L: Saint Prisca,Master of the Brussels Initials,between about 1389 and 1400
Initial L: The Baptism of Saint Augustine,Master of the Osservanza,about 1430
Initial L: The Sick in Alexandria Are Healed after Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Initial M: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial M: Saint Bartholomew,Master of the Brussels Initials,between about 1389 and 1400
Initial M: Saint Luke,Master of the Brussels Initials,between about 1389 and 1400
Initial M: Saint Paul Addressing Two Men,Unknown,about 1250–1262
Initial M: Saint Paul Speaking to a Group from Judah,Unknown,about 1260–1270
Initial M: Saint Paul Speaking to the Jews,Unknown,about 1280–1290
Initial M: Saint Sabina,Master of the Brussels Initials,between about 1389 and 1400
Initial M: The Beheading of Saint John the Baptist,Unknown,about 1260–1270
Initial M: The Death of Saint Dominic,Bolognese Illuminator of the First Style,about 1265
Initial M: The Virgin and Child with a Saint,Unknown,about 1300
Initial M: The Virgin and Child with a Saint,Unknown,about 1300
Initial N: A Saint Pointing to Heaven and to the Text,Bute Master,text and illumination about 1285
Initial N: Saint James with a Sword,Stefan Lochner,about 1450
Initial N: The Beheading of Saint Paul,Niccolò di Giacomo da Bologna,about 1392–1402
"Initial O: A Camaldolese Saint, cutting from a gradual",Master of the Murano Gradual,about 1420–1425
Initial O: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial O: Saint Anthony Abbot,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial O: Saint Barbara before a Tower,Master of the Llangattock Hours,1450s
Initial O: Saint Christopher,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial O: Saint Christopher Carrying the Christ Child,Master of the Llangattock Hours,1450s
Initial O: Saint Geneviève,Georges Trubert,about 1480–1490
Initial O: Saint Gregory,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial O: Saint James the Greater,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial O: Saint Lawrence,Master of the Brussels Initials,between about 1389 and 1400
Initial O: Saint Nicholas Blessing a Child,Georges Trubert,about 1480–1490
Initial O: Saint Sebastian,Georges Trubert,about 1480–1490
Initial O: The Angel of Saint Matthew Holding Up His Gospel,Master of the Brussels Initials,between about 1389 and 1400
Initial O: The Martyrdom of Saint Erasmus,Master of the Llangattock Hours,1450s
Initial O: The Martyrdom of Saint Sebastian,Master of the Llangattock Hours,1450s
Initial O: The Pietà with Saint John the Evangelist,Master of the Llangattock Hours,1450s
Initial P: A Madman Healed After Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Initial P: Saint Bernard Displaying the Host to William of Aquitaine,Unknown,about 1260–1270
"Initial P: Saint John the Baptist, cutting from a gradual",Giovanni di Paolo; Sano di Pietro,about 1446–1450
Initial P: Saint Paul,Stefan Lochner,about 1450
Initial P: Saint Paul,Stefan Lochner,about 1450
Initial P: Saint Paul,Unknown,about 1170
Initial P: Saint Paul,Stefan Lochner,about 1450
Initial P: Saint Paul,Unknown,about 1260–1270
Initial P: Saint Paul,Stefan Lochner,about 1450
Initial P: Saint Paul,Stefan Lochner,about 1450
Initial P: Saint Paul,Unknown,about 1260–1270
Initial P: Saint Paul and a Messenger with Books,Unknown,about 1260–1270
Initial P: Saint Paul and a Priest,Unknown,about 1260–1270
Initial P: Saint Paul Escaping Prison in a Basket,Unknown,about 1250–1262
Initial P: Saint Paul Giving a Book to a Bishop,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Book to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul Giving a Letter to a Bishop,Unknown,about 1280–1290
Initial P: Saint Paul Giving a Letter to a Bishop,Unknown,about 1280–1290
Initial P: Saint Paul Giving a Letter to a Messenger,Unknown,about 1280–1290
Initial P: Saint Paul Giving a Letter to a Messenger,Unknown,about 1280–1290
Initial P: Saint Paul Giving a Letter to a Messenger,Unknown,about 1280–1290
Initial P: Saint Paul Giving a Scroll to a Bishop,Unknown,about 1250–1262
Initial P: Saint Paul Giving Two Men a Scroll,Unknown,about 1250–1262
Initial P: Saint Paul in Conversation,Unknown,about 1280–1290
Initial P: Saint Paul in Conversation,Unknown,about 1280–1290
Initial P: Saint Paul Receiving a Message from God,Unknown,about 1250–1262
Initial P: Saint Paul Speaking to a Bishop,Unknown,about 1280–1290
Initial P: Saint Paul Speaking to a Bishop,Unknown,about 1280–1290
Initial P: Saint Paul Speaking to a Bishop,Unknown,about 1280–1290
Initial P: Saint Paul Speaking to a Bishop and a Messenger,Unknown,about 1280–1290
Initial P: Saint Paul Speaking to a Messenger,Unknown,about 1260–1270
Initial P: Saint Paul with a Bishop and a Messenger,Unknown,about 1280–1290
Initial P: Saint Paul with a Book,Unknown,about 1260–1270
Initial P: Saint Paul with a Book,Unknown,late 12th century
Initial P: Saint Paul with a Book and a Bishop,Unknown,about 1260–1270
Initial P: Saint Paul with a Sword,Stefan Lochner,about 1450
Initial P: Saint Paul with a Sword,Stefan Lochner,about 1450
Initial P: Saint Paul; Initial P: A Bishop Giving a Letter to a Messenger,Unknown,about 1280–1290
Initial P: Saint Peter,Unknown,about 1280–1290
Initial P: Saint Peter,Stefan Lochner,about 1450
Initial P: Saint Peter Speaking to a Group from Judah,Unknown,about 1260–1270
Initial P: Saint Peter with a Book,Unknown,late 12th century
Initial P: Saint Peter's Vision of Clean and Unclean Beasts,Unknown,about 1250–1262
Initial P: The Stoning of Saint Stephen,Unknown,about 1320–1325
Initial P: Timothy Presented to Saint Paul,Unknown,about 1250–1262
Initial Q: Bishop Theophilus Beholding the Stars which Will Lead Him to the Tomb of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Initial Q: Saint Anthony Reassuring Bishop Theophilus and His Companions During a Great Storm,Master of the Brussels Romuléon,about 1465–1470
Initial Q: Saint John the Evangelist,Unknown,about 1260–1270
Initial Q: Saint John the Evangelist in a Vat of Boiling Oil,Unknown,about 1260–1270
Initial Q: Saint Michael and the Dragon,Unknown,about 1240–1250
Initial Q: Saint Peter,Unknown,about 1260–1270
Initial Q: The Martyrdom of Saint Lawrence,Unknown,about 1260–1270
"Initial R or B: Saint Michael and the Dragon, cutting from an antiphonal",Giovanni di Paolo; Sano di Pietro,about 1446–1450
Initial R: A Saint Holding a Scroll,Bute Master,text and illumination about 1285
Initial R: Saint Avia in Prison Receiving Communion from the Virgin,Georges Trubert,about 1480–1490
Initial R: Saint Peter,Master of the Brussels Initials,between about 1389 and 1400
Initial S: A Bishop before a Fire; Initial O: A Nimbed Monk and a Female Saint,Unknown,about 1300
"Initial S: Saint Ambrose, cutting",Olivetan Master,about 1440
Initial S: Saint Christopher,Georges Trubert,about 1480–1490
Initial S: Saint John the Evangelist Giving a Letter to a Man; Initial J: A Monk with a Halo,Unknown,about 1280–1290
Initial S: Saint John the Evangelist with a Book; Initial S: Saint John the Evangelist with a Book,Unknown,about 1260–1270
Initial S: Saint Martin,Master of the Brussels Initials,between about 1389 and 1400
Initial S: Saint Paul,Master of the Brussels Initials,between about 1389 and 1400
Initial S: Saint Peter,Unknown,about 1250–1262
Initial S: Saint Peter,Unknown,about 1300
Initial S: Saint Peter with a Key,Unknown,about 1260–1270
Initial S: Saint Stephen,Master of the Brussels Initials,between about 1389 and 1400
Initial S: Saint Urban,Master of the Brussels Initials,between about 1389 and 1400
Initial S: The Beheading of Saint Paul and the Miracle of Plautilla's Veil,Niccolò di Giacomo da Bologna,about 1392–1402
Initial S: The Conversion of Saint Paul,Pisanello; Master of the Antiphonal Q of San Giorgio Maggiore,about 1440–1450
Initial S: The Martyrdom of Saint Sebastian,Unknown,about 1420
Initial S: The Stigmatization of Saint Francis,Master of the Dresden Prayer Book,about 1480–1485 ?
Initial S: The Stoning of Saint Stephen,Unknown,about 1260–1270
Initial S: The Stoning of Saint Stephen,Master of Gerona,late 13th century
"Initial S: The Stoning of Saint Stephen, cutting from an antiphonal",Master B.F.,about 1500–1510
Initial T: A Nimbed Cleric and a Female Saint,Unknown,about 1300
Initial T: Saint Louis of Toulouse,Franco dei Russi,about 1453–1463
Initial T: The Healing of the Blind after Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Initial U: Saint Andrew,Unknown,late 13th century
Initial V: A Crowned Female Saint with a Book and a Martyr's Palm,Unknown,about 1300
Initial V: Haloed Figure Prays to Christ Flanked by Virgin and Saint John the Baptist,Unknown,about 1250–1262
Initial V: Saint Agnes,Master of the Brussels Initials,between about 1389 and 1400
Initial V: Saint Anthony Abbot,Unknown,about 1420
Initial V: Saint Apollonia,Georges Trubert,about 1480–1490
Initial V: Saint Apollonia with a Book and Tongs,Master of the Llangattock Hours,1450s
Initial V: Saint Bernard,Unknown,after 1460
Initial V: Saint Catherine,Georges Trubert,about 1480–1490
Initial V: Saint Catherine Holding a Sword over a King,Master of the Llangattock Hours,1450s
Initial V: Saint Jerome,Unknown,about 1280–1290
Initial V: Saint John the Evangelist,Unknown,about 1320–1325
"Initial V: Saint Placidus, cutting from an antiphonal",Don Silvestro dei Gherarducci,about 1385–1390
Initial V: The Virgin and Child with Saint Anne,Master of the Llangattock Hours,1450s
"Insect, English Walnut, Saint John's Wort, and Crayfish",Joris Hoefnagel; Georg Bocskay,1561–1562; illumination added 1591–1596
Invention et translation du corps de Saint Antoine,Dreux Jean; Master of the Brussels Romuléon,about 1465–1470
Jacques de Lalaing Arriving at a Joust with the Counts of Maine and Saint Pol,Master of the Getty Lalaing,about 1530
Jacques de Lalaing Kneeling before the Counts of Maine and Saint Pol,Master of the Getty Lalaing,about 1530
January Calendar Page; Saint Paul,Bedford Master,about 1440–1450
Joachim and Saint Anne before the High Priest,Unknown,about 1190–1200
June Calendar Page; Saint John the Baptist,Bedford Master,about 1440–1450
Jérusalem. Vallée de Josaphat. Tombeau de Saint Jacques,Auguste Salzmann; Louis Désiré Blanquart-Evrard,negative 1854; print 1856
Jérusalem. Vallée de Josaphat. Tombeau de Saint Jacques,Auguste Salzmann; Louis Désiré Blanquart-Evrard,negative 1854; print 1856
"Landing at a Portage, Saint Laurence [sic]",Alexander Henderson,about 1870
Landscape with the Temptation of Saint Anthony,Roelandt Savery,1617
"Madonna and Child and Saint John, by P. Pesello",Caldesi & Montecchi,1858
"Madonna and Child with a Male Saint, Catherine of Alexandria and a Donor",Michelangelo di Pietro Membrini,about 1496
Madonna and Child with St. John the Baptist,Oscar Gustave Rejlander,about 1860
Madonna and Child with the Infant Saint John the Baptist,Giovanni Lanfranco,about 1630–1632
"Madonna with Infant and Saint John, by F. Bartolomeo",Robert Howlett,1858
Marriage of Saint Catherine by Cima da Conegliano,Caldesi & Montecchi,1858
Murillo. L'enfant Jesus et St. Jean. Les enfants a la coquille (au Musee du Prado),Juan Laurent,1875
Mystic Marriage of Saint Catherine,Bartolomeo Biscaino,about 1655
November Calendar Page; Saint Catherine,Bedford Master,about 1440–1450
Nuns Praying over the Body of Saint Hedwig; The Burial of Saint Hedwig,Unknown,1353
Papal Messengers Bringing Documents Concerning Saint Hedwig's Canonization from Clement IV; The Reception of the News of Saint Hedwig's Canonization,Unknown,1353
"Raphaël, la Dispute du Saint Sacrément (fresque du Vatican)",James Anderson,1859
"Raphaël, la Délivrance de Saint Pierre (fresque du Vatican)",James Anderson,1859
"Raphaël, Sainte Cécile. Bologne. gravure",James Anderson,1859
Saint Adrian Armed with a Sword and an Anvil,Master of Jacques of Luxembourg,about 1466–1470
Saint Agnes (recto); Figure Studies (verso),Adam Elsheimer,about 1605
Saint Andrew,Master H.B.,about 1530
Saint Andrew,Willem Vrelant,early 1460s
Saint Andrew,Masaccio (Tommaso di Giovanni Guidi),1426
Saint Andrew,Master of the First Prayer Book of Maximilian,about 1510–1520
Saint Andrew with a Cross,Bedford Master,about 1440–1450
Saint Anne and the Virgin Mary as a Child,Bedford Master,about 1440–1450
Saint Anne Teaching the Virgin to Read,Master of Sir John Fastolf,about 1430–1440
Saint Anthony,Willem Vrelant,early 1460s
Saint Anthony,Master of Jacques de Besançon,about 1500
Saint Anthony Abbot,Master of Sir John Fastolf,about 1430–1440
