title,artist,date_display,year_sort,century,circa,supplied_title,context
Initial S: Saint John the Evangelist Giving a Letter to a Man; Initial J: A Monk with a Halo,Unknown,about 1280–1290,1280,13,true,false,
Initial S: Saint John the Evangelist with a Book; Initial S: Saint John the Evangelist with a Book,Unknown,about 1260–1270,1260,13,true,false,
Initial S: Saint Martin,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial S: Saint Paul,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial S: Saint Peter,Unknown,about 1250–1262,1250,13,true,false,
Initial S: Saint Peter,Unknown,about 1300,1300,14,true,false,
Initial S: Saint Peter with a Key,Unknown,about 1260–1270,1260,13,true,false,
Initial S: Saint Stephen,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial S: Saint Urban,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
Initial S: The Beheading of Saint Paul and the Miracle of Plautilla's Veil,Niccolò di Giacomo da Bologna,about 1392–1402,1392,14,true,false,
Initial S: The Conversion of Saint Paul,Pisanello; Master of the Antiphonal Q of San Giorgio Maggiore,about 1440–1450,1440,15,true,false,
Initial S: The Martyrdom of Saint Sebastian,Unknown,about 1420,1420,15,true,false,
Initial S: The Stigmatization of Saint Francis,Master of the Dresden Prayer Book,about 1480–1485 ?,1480,15,true,false,
Initial S: The Stoning of Saint Stephen,Unknown,about 1260–1270,1260,13,true,false,
Initial S: The Stoning of Saint Stephen,Master of Gerona,late 13th century,1250,13,true,false,
"Initial S: The Stoning of Saint Stephen, cutting from an antiphonal",Master B.F.,about 1500–1510,1500,16,true,false,
Initial T: A Nimbed Cleric and a Female Saint,Unknown,about 1300,1300,14,true,false,
Initial T: Saint Louis of Toulouse,Franco dei Russi,about 1453–1463,1453,15,true,false,
Initial T: The Healing of the Blind after Touching the Body of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470,1465,15,true,false,
Initial U: Saint Andrew,Unknown,late 13th century,1250,13,true,false,
Initial V: A Crowned Female Saint with a Book and a Martyr's Palm,Unknown,about 1300,1300,14,true,false,
Initial V: Haloed Figure Prays to Christ Flanked by Virgin and Saint John the Baptist,Unknown,about 1250–1262,1250,13,true,false,
Initial V: Saint Agnes,Master of the Brussels Initials,between about 1389 and 1400,1389,14,true,false,
